 907:    5: successfully loaded `testobj2.so', handle 0x555556ddcbd0
 906:    1: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 905:   21: successfully unloaded `testobj6.so', handle 0x555556ddb2b0
 904:   14: successfully loaded `testobj4.so', handle 0x555556ddb2b0
 903:   21: successfully loaded `testobj6.so', handle 0x555556ddd090
 902:   11: successfully loaded `testobj3.so', handle 0x555556ddd850
 901:   12: successfully unloaded `testobj4.so', handle 0x555556ddb2b0
 900:    0: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 899:    3: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 898:   22: successfully unloaded `testobj6.so', handle 0x555556ddd090
 897:   19: successfully unloaded `testobj5.so', handle 0x555556ddbfa0
 896:   10: successfully unloaded `testobj3.so', handle 0x555556ddd850
 895:    7: successfully unloaded `testobj2.so', handle 0x555556ddcbd0
 894:    3: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 893:    0: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 892:   23: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 891:    6: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 890:   18: successfully loaded `testobj5.so', handle 0x555556ddcbd0
 889:   11: successfully loaded `testobj3.so', handle 0x555556ddd090
 888:    6: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 887:   21: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 886:    8: successfully unloaded `testobj3.so', handle 0x555556ddd090
 885:   20: successfully loaded `testobj6.so', handle 0x555556ddb2b0
 884:    5: successfully loaded `testobj2.so', handle 0x555556ddb8e0
 883:   10: successfully loaded `testobj3.so', handle 0x555556ddd090
 882:   16: successfully unloaded `testobj5.so', handle 0x555556ddcbd0
 881:   15: successfully loaded `testobj4.so', handle 0x555556ddcbd0
 880:    2: successfully loaded `testobj1.so', handle 0x555556ddbfa0
 879:   22: successfully unloaded `testobj6.so', handle 0x555556ddb2b0
 878:   17: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 877:   15: successfully unloaded `testobj4.so', handle 0x555556ddcbd0
 876:   20: successfully loaded `testobj6.so', handle 0x555556ddcbd0
 875:   11: successfully unloaded `testobj3.so', handle 0x555556ddd090
 874:   12: successfully loaded `testobj4.so', handle 0x555556ddd090
 873:   10: successfully loaded `testobj3.so', handle 0x555556ddd850
 872:    8: successfully unloaded `testobj3.so', handle 0x555556ddd850
 871:   15: successfully unloaded `testobj4.so', handle 0x555556ddd090
 870:   15: successfully loaded `testobj4.so', handle 0x555556ddd090
 869:    0: successfully unloaded `testobj1.so', handle 0x555556ddbfa0
 868:   11: successfully loaded `testobj3.so', handle 0x555556ddd8c0
 867:    5: successfully unloaded `testobj2.so', handle 0x555556ddb8e0
 866:   12: successfully unloaded `testobj4.so', handle 0x555556ddd090
 865:   21: successfully unloaded `testobj6.so', handle 0x555556ddcbd0
 864:   12: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 863:   15: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 862:   13: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 861:    4: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 860:   21: successfully loaded `testobj6.so', handle 0x555556ddd0e0
 859:   23: successfully unloaded `testobj6.so', handle 0x555556ddd0e0
 858:    7: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 857:   19: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 856:   20: successfully loaded `testobj6.so', handle 0x555556ddbfa0
 855:   16: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 854:   16: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 853:   17: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 852:    2: successfully loaded `testobj1.so', handle 0x555556ddcbd0
 851:    8: successfully unloaded `testobj3.so', handle 0x555556ddd8c0
 850:    9: successfully loaded `testobj3.so', handle 0x555556ddd8c0
 849:   20: successfully unloaded `testobj6.so', handle 0x555556ddbfa0
 848:   22: successfully loaded `testobj6.so', handle 0x555556ddbfa0
 847:    2: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 846:   12: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 845:   18: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 844:   13: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 843:   16: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 842:   21: successfully unloaded `testobj6.so', handle 0x555556ddbfa0
 841:   14: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 840:    8: successfully unloaded `testobj3.so', handle 0x555556ddd8c0
 839:   12: successfully loaded `testobj4.so', handle 0x555556ddbfa0
 838:    6: successfully loaded `testobj2.so', handle 0x555556ddb8e0
 837:   11: successfully loaded `testobj3.so', handle 0x555556ddcbd0
 836:   17: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 835:   18: successfully loaded `testobj5.so', handle 0x555556ddd090
 834:    0: successfully loaded `testobj1.so', handle 0x555556ddd850
 833:   22: successfully loaded `testobj6.so', handle 0x555556ddb2b0
 832:    9: successfully unloaded `testobj3.so', handle 0x555556ddcbd0
 831:   13: successfully unloaded `testobj4.so', handle 0x555556ddbfa0
 830:    2: successfully unloaded `testobj1.so', handle 0x555556ddd850
 829:    7: successfully unloaded `testobj2.so', handle 0x555556ddb8e0
 828:   12: successfully loaded `testobj4.so', handle 0x555556ddcbd0
 827:    9: successfully loaded `testobj3.so', handle 0x555556ddb8e0
 826:    2: successfully loaded `testobj1.so', handle 0x555556ddbfa0
 825:    0: successfully unloaded `testobj1.so', handle 0x555556ddbfa0
 824:   17: successfully unloaded `testobj5.so', handle 0x555556ddd090
 823:   10: successfully unloaded `testobj3.so', handle 0x555556ddb8e0
 822:   18: successfully loaded `testobj5.so', handle 0x555556ddbfa0
 821:   20: successfully unloaded `testobj6.so', handle 0x555556ddb2b0
 820:   10: successfully loaded `testobj3.so', handle 0x555556ddd090
 819:    3: successfully loaded `testobj1.so', handle 0x555556ddb8e0
